business_token,is_bad
business_difo2tnTYTc5,FALSE
business_Ngy8MrzS91yF,FALSE
business_pbgRf3yqh1QQ,FALSE
business_ShXMUU1ccQnx,FALSE
business_itbYSEMQfZHt,FALSE
business_HWUf2mxY7wyK,FALSE
business_g5oeQtakbRSk,FALSE
business_nMY3YcfyU49j,FALSE
business_1YTWYP1f1Nt4,FALSE
business_WzbdjV8QGmVQ,FALSE
business_sNjc5TRFYXfH,FALSE
business_iY2ekCDcbkc3,FALSE
business_NrfhrFmh4xUq,FALSE
business_cikKEavA4gnT,FALSE
business_sNVsyJNaNigo,FALSE
business_r95xkMSXHNt3,FALSE
business_iFW5LbYXJGY7,FALSE
business_xS1GSdvqvGVH,FALSE
business_YXEgHCgjEsBJ,FALSE
business_QhSJTyeHL5ga,FALSE
business_mPhiyWLi1Ete,FALSE
business_GthGNve4Ku76,FALSE
business_sgTVjfkcmcAt,FALSE
business_Yv5YsyzAb6Be,FALSE
business_v7KjAiuvfit9,FALSE
business_eMsN3azWaHGB,FALSE
business_2CCk7Nc3Vdxg,FALSE
business_9QxQKRN9z8Bg,FALSE
business_KDTaVJHbToVf,FALSE
business_c5DUbA5jxeVe,FALSE
business_GQPAiEwp9oou,FALSE
business_98JFPBHrtjcq,FALSE
business_PknZzKqAGiAv,FALSE
business_YwejKRwM773W,FALSE
business_JdqojUMWtYU8,FALSE
business_i3ycBbiYXuC2,FALSE
business_KqhEm58oNPuc,FALSE
business_CSUwH5xmvpYe,FALSE
business_VgMGGH14iFPx,FALSE
business_RR5HKs2b11pT,FALSE
business_rhBeYALGZj8W,FALSE
business_M32Gdm6KDCgs,FALSE
business_3M1ozHtHMFvG,FALSE
business_Pc9f2sKhz8Ut,FALSE
business_UGVFq2hebydM,FALSE
business_v6TuAVst3Sn1,FALSE
business_pGErY9hkzHwZ,FALSE
business_rAjpkg5SiHvz,FALSE
business_MTgFMihkChoV,FALSE
business_vpzTprxfPKrN,FALSE
business_eHygkSRP62iz,FALSE
business_knfkEhWXdzbh,FALSE
business_SWiX6eQJ2LWF,TRUE
business_wv2PdhBiFwiy,TRUE
business_66fUgVaBACht,TRUE
business_9QtpoHkuRnw9,TRUE
business_5Rwip1zv1yvF,TRUE
business_Y2em6XA8xdWC,TRUE
business_KSVLNYRJAvs9,TRUE
business_MCRahLUpuf55,TRUE
business_anbVSkcgge21,TRUE
business_h89AawhWqViN,TRUE
business_recPNbQGnEMr,TRUE
business_BzRz8JXV2vBJ,TRUE
business_pUQ3aTa1SbAg,TRUE
business_S7M1cqnSpf9s,TRUE
business_YCwqWPxNnk7b,TRUE
business_Mw8hGL5Dfs8d,TRUE
business_DNYkm6KoQew6,TRUE
business_G92weK72qYAP,TRUE
business_2VS8Bb5RnH8d,TRUE
business_BtSaJKFPcSxg,TRUE
business_XATPmUF5g4vb,TRUE
business_SrLAWvdUCn5b,TRUE
business_R1pQ4MWvu8gi,TRUE
business_C38rdPtrfwBb,TRUE
business_J1QPXXk7z3sw,TRUE
business_X5cT1QA6Pbnj,TRUE
business_DpWg2jBM4peo,TRUE
business_jVGANa36fieY,TRUE
business_EgqNUSSrZ7EB,TRUE
business_kEogtQW5f5nU,TRUE
business_LapQ8SS3Tegi,TRUE
business_PyUhreUF6kkQ,TRUE
business_x7hbw6SgCzWj,TRUE
business_nGLugznezRSk,TRUE
business_fDi6YkHmE5MZ,TRUE
business_JPbhhUWbZvEX,TRUE
business_yQeBLMnLvCrS,TRUE
business_jLft9q4orLDD,TRUE
business_UZwuMd51AGzB,TRUE
business_hTEkpMcXAzpT,TRUE
business_7SijSUfKRTMY,TRUE
business_MgHvS1et8qdV,TRUE
business_e3CPxr3rqsDJ,TRUE
business_8J874G7wtVS3,TRUE
business_giQZxTfq64GZ,TRUE
business_4DXdCsabg89d,TRUE
business_X64aKE3U5e2r,TRUE
business_iEXtzU3ACF5E,TRUE
business_pTZL6qr8zq4v,TRUE
business_amMTzajeymux,TRUE
business_yQy4xWi9sNi6,TRUE
business_e6m8E7FKVTYg,TRUE
business_gL6aGCz3a575,TRUE
business_HrXZyGcbFysz,TRUE
business_sqA2fJv5Vsni,TRUE
business_Z32iQp9ZscST,TRUE
business_8AV8XkR3r9iL,TRUE
business_XTYBxRqPHN92,TRUE
business_nwo1QVvJL2XL,TRUE
business_zCKiwC3zN5Z8,TRUE
business_uwTotzMmi6oi,TRUE
business_YdBZbH8G7ked,TRUE
business_1HJSvTLCQ18n,TRUE
business_CnGb3w6e7Zuq,TRUE
business_8XY3SfuQwbiU,TRUE
business_QzpbpWf11Q9A,TRUE
business_qWDZMCxFkyH8,TRUE
business_fBhZTJQPZUEU,TRUE
business_x4vyGM4W6feX,TRUE
business_mntELn844Xov,TRUE
business_oCYpsTKXLTpW,TRUE
business_6KfiY3FGUUVB,TRUE
business_AJZWePJJEK6k,TRUE
business_bdXbqBhjJEHX,TRUE
business_MCS2HT8RxujH,TRUE
business_EvubyENFfoZi,TRUE
business_gf6TVTavaRLx,TRUE
business_3ZmkA6uPWNaM,TRUE
business_1PLuhtCAGwnx,TRUE
business_JFFWaj9FhvYG,TRUE
business_GNTZwgt4FCD8,TRUE
business_3MBRqsojg2Fq,TRUE
business_z6zAtWeXoEQC,TRUE
business_MtAoUqdgXR57,TRUE
business_xUsd9jzRB31Z,TRUE
business_fXJboyoM6FXY,TRUE
business_e8wLwsbowHrS,TRUE
business_sRdCcDW9Zdvy,TRUE
business_3bfp7QXHeSa6,TRUE
business_BgfMJ9yiHKua,TRUE
business_H7hxz3a1ZeRL,TRUE
business_dBQVaExYsuKm,TRUE
business_zyheWqp2DjAx,TRUE
business_YgR4iNPw3MiE,TRUE
business_f7789VHoNNwq,TRUE
business_k4jACftAtNUy,TRUE
business_tbw81tNGvHnJ,TRUE
business_YFX3QUTboZ1v,TRUE
business_bKDfLQ2wQeXY,TRUE
business_HG4PuoZmtMhC,TRUE
business_m5GB6GZrabSN,TRUE
business_roGtVikV6E76,TRUE
business_oAwTZ3nRCufj,TRUE
business_Syy2ANR2Nn9P,TRUE
business_bdFhn3aaVP82,TRUE
business_7PCDq6zJwmAY,TRUE
business_bNwLPX1S9sk5,TRUE
business_qGLGpBTexLMx,TRUE
business_XbYSUKMixcHw,TRUE
business_FDT8kUzW76YD,TRUE
business_W75rtheW3vfq,TRUE
business_oSUodYU6mjp9,TRUE
business_w6EZZVjMAvg5,TRUE
business_3GJWwKck86QZ,TRUE
