business_token,transaction_date,entry_type,direction,amount_cents,transaction_status,internal_failure_reason,vendor_name,mcc,mcc_description,merchant_country,pos_data_type,token_wallet_type,pos_data_attended,pos_data_on_premise,card_entry_mode,pin_entered,pan_entry_mode,card_network,avs_result
business_pGErY9hkzHwZ,2022-06-01 0:44:59,card,from,8338,SETTLED,,"NEWGOV - NEWTON, MA",9399,Government Services ( Not Elsewhere Classified),USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,KEY_ENTERED,MASTERCARD,MATCH
business_NrfhrFmh4xUq,2022-06-01 1:03:46,card,from,7217,SETTLED,,HOLIDAY OIL 41,5542,Automated Fuel Dispensers,USA,POS_TERMINAL,,TRUE,TRUE,PRESENT,TRUE,ICC,MAESTRO,FAIL
business_sgTVjfkcmcAt,2022-06-01 1:51:26,atm,from,50300,SETTLED,,QUIKTRIP #656,6011,Financial Institutions – Manual Cash Disbursements,USA,ATM,,FALSE,FALSE,PRESENT,TRUE,ICC,MAESTRO,FAIL
business_sgTVjfkcmcAt,2022-06-01 2:05:52,card,from,10000,SETTLED,,MURPHY EXPRESS 8843,5542,Automated Fuel Dispensers,USA,POS_TERMINAL,,FALSE,TRUE,PRESENT,TRUE,ICC,MASTERCARD,FAIL
business_sgTVjfkcmcAt,2022-06-01 2:49:50,card,from,15886,SETTLED,,WM SUPERCENTER #313,5411,"Grocery Stores, Supermarkets",USA,POS_TERMINAL,,TRUE,TRUE,PRESENT,FALSE,ICC,MASTERCARD,FAIL
business_GthGNve4Ku76,2022-06-01 3:34:33,ach_internal,from,100000,SETTLED,,WNbYR3e8awwxX9Efzzbl1uK8W3akxWAsQAAAzX4YYL8=,,,,,,,,,,,,
business_98JFPBHrtjcq,2022-06-01 5:27:40,card,from,3900,SETTLED,,GOOD INFLUENCE(,8299,Schools and Educational Services ( Not Elsewhere Classified),USA,ECOMMERCE,,FALSE,TRUE,NOT_PRESENT,FALSE,UNKNOWN,MASTERCARD,MATCH_ZIP_ONLY
business_VgMGGH14iFPx,2022-06-01 5:30:24,card,to,20690,SETTLED,,HILTON HOTELS,3504,HILTON HOTELS,USA,,,,,,,,MASTERCARD,
business_xS1GSdvqvGVH,2022-06-01 5:36:28,card,from,941,DECLINED,CARD_INACTIVE,WORLDMARK THE CLUB,7012,Timeshares,USA,DIAL_TERMINAL,,TRUE,TRUE,NOT_PRESENT,FALSE,UNKNOWN,MASTERCARD,MATCH_ZIP_ONLY
business_g5oeQtakbRSk,2022-06-01 5:50:56,ach_internal,from,35500,SETTLED,,f5hQascmDg4H9EsScR3mZzkbEzpF/0yNJHhmdBaw96E=,,,,,,,,,,,,
business_xS1GSdvqvGVH,2022-06-01 7:18:39,ach_internal,from,900,SETTLED,,X63Zj2GUhBtd2KW3hNrqkn5Xni7lYqQtY3ElG3xwtfc=,,,,,,,,,,,,
business_xS1GSdvqvGVH,2022-06-01 7:28:26,ach_internal,from,299100,SETTLED,,mDO9FH50CyZ3OTP7vBBIobX/iqkykLvKJjc+h1NcvQo=,,,,,,,,,,,,
business_JdqojUMWtYU8,2022-06-01 8:10:06,card,from,37500,SETTLED,,360 STORAGE SOLUTIONS,4225,"Public warehousing, Storage",USA,PHONE,,FALSE,FALSE,NOT_PRESENT,FALSE,UNKNOWN,MASTERCARD,MATCH
business_rAjpkg5SiHvz,2022-06-01 8:47:19,ach_internal,from,100000,SETTLED,,GnbcdcAFK2iNrsF2Tr4SJfrvEFXLAc+OnviTNoSa1jU=,,,,,,,,,,,,
business_GthGNve4Ku76,2022-06-01 10:25:46,card,from,1500,SETTLED,,INTUIT *QuickBooks Onl,5734,Computer Software Stores,USA,PHONE,,TRUE,TRUE,NOT_PRESENT,FALSE,UNKNOWN,MASTERCARD,MATCH
